order_id,order_date,customer_id,region,category,channel,quantity,unit_price,discount,order_value,is_returned
104015,2025-09-21,11126,West,Sports,Web,2,39.6,0.0,79.2,False
103527,2025-12-06,10002,East,Electronics,Mobile,1,137.39,0.1,123.65,False
101420,2025-12-07,12771,West,Apparel,Web,2,68.93,0.0,137.86,False
101352,2025-09-02,12522,West,Home,Web,1,29.09,0.05,27.64,False
103125,2025-12-02,10534,North,Beauty,Mobile,1,29.18,0.2,23.34,False
104661,2025-10-08,10050,East,Beauty,Web,1,31.12,0.1,28.01,False
100687,2025-12-17,12442,East,Home,Mobile,1,45.14,0.1,40.63,False
101701,2025-03-01,10586,North,Apparel,Web,1,72.21,0.0,72.21,False
102957,2025-05-22,12594,North,Sports,Store,2,151.26,0.0,302.52,False
102743,2025-10-05,10126,South,Electronics,Mobile,2,155.15,0.0,310.3,False
102643,2025-10-13,10644,East,Home,Mobile,1,67.37,0.0,67.37,True
100735,2025-05-20,12095,North,Home,Web,2,131.57,0.0,263.14,False
101521,2025-10-15,11061,East,Home,Web,1,54.97,0.0,54.97,False
103561,2025-08-18,11083,East,Apparel,Web,1,49.84,0.0,49.84,False
100640,2025-04-14,11340,North,Home,Web,1,107.91,0.0,107.91,False
104978,2025-03-03,12658,West,Apparel,Mobile,1,47.18,0.0,47.18,False
102979,2025-11-13,11855,South,Home,Mobile,1,63.47,0.0,63.47,False
102905,2025-10-16,10319,East,Home,Web,4,39.16,0.05,148.81,False
100473,2025-07-21,10513,North,Beauty,Mobile,3,22.61,0.2,54.26,True
101196,2025-03-26,10903,West,Apparel,Web,2,51.48,0.2,82.37,False
100172,2025-07-03,10417,West,Apparel,Web,1,34.1,0.0,34.1,False
104559,2025-04-15,12535,North,Apparel,Mobile,1,44.47,0.1,40.02,False
102258,2025-03-26,12518,North,Apparel,Mobile,1,25.41,0.0,25.41,False
101012,2025-05-27,10493,East,Electronics,Mobile,2,87.86,0.1,158.15,True
100638,2025-12-22,10813,West,Sports,Mobile,3,105.91,0.2,254.18,False
102410,2025-09-05,11220,East,Beauty,Mobile,5,26.68,0.0,133.4,False
102455,2025-03-27,11634,East,Home,Mobile,1,124.42,0.0,124.42,False
103151,2025-05-16,12894,East,Sports,Web,2,72.94,0.0,145.88,False
100145,2025-02-15,11135,North,Beauty,Web,1,40.75,0.0,40.75,False
102796,2025-07-12,10138,South,Apparel,Web,1,41.14,0.0,41.14,False
104564,2025-05-06,11059,South,Electronics,Mobile,1,207.59,0.0,207.59,False
103215,2025-08-18,10659,West,Electronics,Mobile,1,134.33,0.1,120.9,False
102370,2025-06-14,12319,East,Apparel,Mobile,2,34.45,0.0,68.9,False
100402,2025-12-24,12311,East,Beauty,Mobile,1,40.83,0.05,38.79,False
100453,2025-12-24,10007,North,Home,Mobile,3,34.86,0.0,104.58,False
103966,2025-12-12,11330,West,Home,Mobile,5,68.62,0.0,343.1,False
104314,2025-05-09,12648,North,Apparel,Web,4,31.56,0.1,113.62,False
101235,2025-11-15,12555,South,Sports,Web,3,34.22,0.1,92.39,False
103115,2025-10-11,11859,North,Home,Mobile,5,40.17,0.0,200.85,False
101997,2025-12-05,11780,West,Beauty,Mobile,1,15.08,0.0,15.08,True
103473,2025-04-11,11544,East,Home,Web,1,80.67,0.0,80.67,False
102320,2025-08-24,12141,East,Apparel,Web,2,52.41,0.0,104.82,False
102463,2025-08-19,10809,South,Sports,Mobile,1,51.57,0.0,51.57,False
100651,2025-05-15,11047,West,Apparel,Web,1,40.19,0.0,40.19,False
102063,2025-01-11,10150,North,Sports,Web,4,49.47,0.0,197.88,True
101216,2025-05-07,11935,North,Electronics,Web,1,142.55,0.05,135.42,False
103515,2025-03-20,12660,North,Apparel,Mobile,2,38.78,0.05,73.68,True
101706,2025-11-06,11046,North,Home,Mobile,1,55.94,0.0,55.94,False
102443,2025-05-02,10405,South,Electronics,Web,4,99.55,0.05,378.29,False
102142,2025-04-04,10691,West,Electronics,Mobile,2,217.83,0.0,435.66,False
103580,2025-12-10,12197,East,Apparel,Web,2,30.45,0.0,60.9,False
101637,2025-04-07,11635,South,Apparel,Web,2,31.73,0.2,50.77,False
104772,2025-09-03,11187,North,Beauty,Mobile,1,25.55,0.0,25.55,False
104988,2025-11-27,12490,West,Apparel,Web,1,34.37,0.2,27.5,True
102948,2025-10-19,12666,South,Sports,Web,1,89.24,0.1,80.32,False
101875,2025-08-13,12658,West,Electronics,Mobile,3,166.28,0.0,498.84,False
104177,2025-10-14,11271,West,Sports,Store,1,80.47,0.0,80.47,False
104541,2025-12-12,10330,South,Beauty,Store,1,40.19,0.0,40.19,True
102288,2025-05-09,10309,East,Home,Mobile,3,20.13,0.0,60.39,False
103622,2025-12-16,11930,,Apparel,Web,2,48.16,0.0,96.32,False
103945,2025-05-11,11745,West,Beauty,Web,5,13.87,0.0,69.35,True
102568,2025-11-09,12156,West,Sports,Mobile,1,53.3,0.1,47.97,False
104561,2025-08-20,11830,South,Home,Web,1,51.83,0.0,51.83,False
100195,2025-04-16,10368,South,Apparel,Mobile,1,40.02,0.05,38.02,False
103691,2025-11-27,10911,North,Beauty,Web,5,54.03,0.0,270.15,False
103378,2025-12-06,10123,,Sports,Web,1,102.26,0.0,102.26,False
100449,2025-12-15,10794,West,Beauty,Mobile,1,20.32,0.2,16.26,False
104617,2025-02-01,10321,South,Sports,Web,4,41.24,0.0,164.96,False
